BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,1,68,796,1,454,0.286975717439294,112,0.414414414414414,-1,NaN,0,NaN,-1,NaN,15,0.357142857142857,-1,NaN,NaN,NaN,-1,NaN
1,1,69,796,1,20,0.421052631578947,143,0.711267605633803,171,0.658823529411765,369,0.396739130434783,669,0.501497005988024,257,0.6796875,755,0.582228116710875,NaN,NaN,413,0.560679611650485
1,1,70,796,1,2,1,4,0.666666666666667,20,0.526315789473684,457,0.567982456140351,178,0.491525423728814,80,0.569620253164557,311,0.661290322580645,NaN,NaN,289,0.430555555555556
1,1,71,796,1,78,0.454545454545455,437,0.564220183486238,396,0.559493670886076,513,0.439453125,224,0.479820627802691,310,0.647249190938511,843,0.459619952494062,NaN,NaN,-1,NaN
1,1,72,45,0,34,0.393939393939394,309,0.435064935064935,295,0.496598639455782,686,0.490510948905109,744,0.356662180349933,695,0.792507204610951,486,0.612371134020619,NaN,NaN,361,0.519444444444444
1,1,73,45,0,701,0.401428571428571,460,0.42483660130719,187,0.483870967741935,642,0.553822152886115,612,0.515548281505728,379,0.314814814814815,426,0.470588235294118,NaN,NaN,-1,NaN
1,1,74,45,0,1097,0.336678832116788,823,0.375912408759124,598,0.40536013400335,977,0.399590163934426,828,0.394195888754534,676,0.491851851851852,809,0.600247524752475,NaN,NaN,-1,NaN
1,1,75,45,0,-1,NaN,448,0.411633109619687,622,0.43317230273752,991,0.47979797979798,817,0.558823529411765,726,0.558620689655172,573,0.442307692307692,NaN,NaN,329,0.551829268292683
1,1,76,45,0,164,0.380368098159509,816,0.867484662576687,511,0.437254901960784,0,NaN,-1,NaN,1,NaN,-1,NaN,NaN,NaN,-1,NaN
1,1,77,45,0,900,0.697441601779755,916,0.369398907103825,696,0.464748201438849,938,0.591248665955176,908,0.456449834619625,701,0.418571428571429,601,0.516666666666667,NaN,NaN,-1,NaN
1,1,78,45,0,207,0.543689320388349,711,0.532394366197183,836,0.468263473053892,863,0.667053364269142,694,0.629148629148629,739,0.403794037940379,769,0.68359375,NaN,NaN,805,0.587064676616915
1,1,79,45,0,158,0.694267515923567,676,0.419259259259259,613,0.648692810457516,657,0.591463414634146,530,0.508506616257089,531,0.562264150943396,678,0.400295420974889,NaN,NaN,496,0.406060606060606
