Flynum,Concentration,Cohort,Week,Trial,Batch,Odor,Occupancy,Day,FlyIDConstant
10,0.39,6,1,2,2,Off,0.449286250939143,1,Yes
11,0.39,6,1,2,2,Off,0.531179564237416,1,Yes
12,0.39,6,1,2,2,Off,0.371900826446281,1,Yes
13,0.39,6,1,2,2,Off,0.584522915101428,1,Yes
14,0.39,6,1,2,2,Off,0.444027047332832,1,Yes
15,0.39,6,1,2,2,Off,0.414725770097671,1,Yes
1,0.39,6,1,2,3,On,0.557570977917981,1,Yes
2,0.39,6,1,2,3,On,0.56782334384858,1,Yes
3,0.39,6,1,2,3,On,0.44006309148265,1,Yes
4,0.39,6,1,2,3,On,0.650630914826498,1,Yes
5,0.39,6,1,2,3,On,0.747634069400631,1,Yes
6,0.39,6,1,2,3,On,0.770504731861199,1,Yes
7,0.39,6,1,2,3,On,0.640378548895899,1,Yes
8,0.39,6,1,2,3,On,0.519716088328076,1,Yes
9,0.39,6,1,2,3,On,0.847003154574132,1,Yes
10,0.39,6,1,2,3,On,0.576498422712934,1,Yes
11,0.39,6,1,2,3,On,0.729495268138801,1,Yes
12,0.39,6,1,2,3,On,0.514195583596215,1,Yes
13,0.39,6,1,2,3,On,0.617507886435331,1,Yes
14,0.39,6,1,2,3,On,0.691640378548896,1,Yes
15,0.39,6,1,2,3,On,0.634069400630915,1,Yes
1,0.39,6,1,2,3,Off,0.547552447552448,1,Yes
2,0.39,6,1,2,3,Off,0.347552447552448,1,Yes
3,0.39,6,1,2,3,Off,0.655244755244755,1,Yes
4,0.39,6,1,2,3,Off,0.255244755244755,1,Yes
5,0.39,6,1,2,3,Off,0.278321678321678,1,Yes
6,0.39,6,1,2,3,Off,0.473426573426573,1,Yes
7,0.39,6,1,2,3,Off,0.45034965034965,1,Yes
8,0.39,6,1,2,3,Off,0.572027972027972,1,Yes
9,0.39,6,1,2,3,Off,0.453146853146853,1,Yes
10,0.39,6,1,2,3,Off,0.188811188811189,1,Yes
11,0.39,6,1,2,3,Off,0.375524475524476,1,Yes
12,0.39,6,1,2,3,Off,0.568531468531469,1,Yes
13,0.39,6,1,2,3,Off,0.511888111888112,1,Yes
14,0.39,6,1,2,3,Off,0.491608391608392,1,Yes
15,0.39,6,1,2,3,Off,0.282517482517483,1,Yes
1,0.39,6,1,2,4,On,0.559157212317666,1,Yes
